sid,isb,search,title,dizhi,lng,lat,similarity,name,district,fLng,fLat,followerCount,_id,fAddress
JD5ACTYJXB,斜土路734弄小区,斜土路734弄小区,[黄浦] 斜土路734弄小区,斜土路734弄,121.472375,31.201833,0.8571428571428571,斜土路734弄,黄浦,121.4787069,31.20807458,59,601948017e3a052fd4976874,斜土路734弄
430FUKB9DF,鲁班路400弄小区,鲁班路400弄小区,[黄浦] 鲁班路400弄小区,鲁班路400弄,121.475748,31.200427,0.2857142857142857,鲁班路360号,黄浦,121.48172737855,31.208082429102,1,601947b47e3a052fd4976794,鲁班路360号
CTHZA4PC4G,建国中路18弄小区,建国中路18弄小区,[黄浦] 建国中路18弄小区,建国中路18号,121.469745,31.21012,0.42857142857142855,建国中路65弄,黄浦,121.4761526,31.21570504,1,601947b57e3a052fd4976797,建国中路65弄
,,,,,,,0,静安寺珠宝古玩城,黄浦,121.479846,31.212597,1,601947b57e3a052fd4976799,鲁班路100号
FIA9XWNU45,锦城公寓(打浦路),锦城公寓(打浦路),[黄浦] 锦城公寓(打浦路),打浦路90弄,121.47019,31.202644,0.26666666666666666,打浦路90弄2号,黄浦,121.47687251304,31.209181116394,2,601947b57e3a052fd497679b,打浦路90弄2号
,,,,,,,0,勤乐邨,黄浦,121.4740203,31.21354381,1,601947b67e3a052fd497679d,泰康路316弄1-8号
,,,,,,,0,泰康路274弄35号,黄浦,121.47467878484,31.213836514295,2,601947b87e3a052fd49767a0,泰康路274弄35号
,,,,,,,0,泰康路282号,黄浦,121.474654,31.213612,2,601947b97e3a052fd49767a2,泰康路282号
,,,,,,,0,荣科大厦,黄浦,121.479458,31.20363341,2,601947b97e3a052fd49767a4,"打浦路443号,打浦路457弄4号"
CTHZA4PC4G,建国中路18弄小区,建国中路18弄小区,[黄浦] 建国中路18弄小区,建国中路18号,121.469745,31.21012,0.5333333333333333,建国中路139号,黄浦,121.4749061,31.21519354,2,601947ba7e3a052fd49767a6,建国中路139号
1PN5957SD0,海华花园,海华花园,[黄浦] 海华花园,打浦路38弄,121.468959,31.204447,0.3333333333333333,海华大厦,黄浦,121.4759826,31.21118811,2,601947bc7e3a052fd49767a9,打浦路8号
,,,,,,,0,汇丽小区,黄浦,121.4780763,31.21379907,135,6019480b7e3a052fd4976893,徐家汇路536弄
,,,,,,,0,天歌大厦,黄浦,121.478793,31.202062,161,6019480e7e3a052fd497689b,中山南一路1065号
WL7BHDNQWA,南塘浜路93弄小区,南塘浜路93弄小区,[黄浦] 南塘浜路93弄小区,南塘浜路93弄,121.473961,31.204269,0.8571428571428571,南塘浜路93弄,黄浦,121.480571,31.210266,157,6019480f7e3a052fd497689d,南塘浜路93弄
WRQNH46TAM,振颖苑,振颖苑,[黄浦] 振颖苑,徐家汇路436弄,121.471811,31.208806,1,振颖苑,黄浦,121.47829,31.214609,194,6019480f7e3a052fd49768a0,徐家汇路436弄
QRPMNJTOCP,莱兴公寓,莱兴公寓,[黄浦] 莱兴公寓,斜土路768-1号,121.471942,31.201656,1,莱兴公寓,黄浦,121.478387,31.207902,172,601948127e3a052fd49768a3,斜土路766弄1号
EF7TDRZYYQ,卢湾华业公寓,卢湾华业公寓,[黄浦] 卢湾华业公寓,南塘浜路133号,121.471803,31.203352,0.75,华业公寓,黄浦,121.479046,31.209489,171,601948127e3a052fd49768a5,南塘浜路133号
,,,,,,,0,徐家汇路454弄,黄浦,121.4779549,31.21394337,184,601948137e3a052fd49768a7,徐家汇路454弄
07H2PRURYM,德福苑,德福苑,[黄浦] 德福苑,蒙自路501弄,121.480195,31.201229,0,富源公寓,黄浦,121.476713,31.212972,185,601948147e3a052fd49768a9,徐家汇路552弄
5ZXFJMYIXN,丽园路1032弄小区,丽园路1032弄小区,[黄浦] 丽园路1032弄小区,丽园路1032弄,121.472137,31.205333,0.875,丽园路1032弄,黄浦,121.4780903,31.21163324,184,601948167e3a052fd49768ac,"丽园路1032弄1-17号（单号）, 丽园路1020号, 丽园路1024号, 丽园路1028号"
1JJJ7K3BEB,黄浦原水小区,黄浦原水小区,[黄浦] 黄浦原水小区,制造局路208弄,121.483612,31.208049,0.5,原水小区(卢湾),黄浦,121.476329,31.214584,187,601948177e3a052fd49768ae,泰康路190弄1-6号
B0TUJTVVNG,乔家栅小区,乔家栅小区,[黄浦] 乔家栅小区,凝和路139弄,121.493976,31.217271,0.2,乔家路133弄,黄浦,121.5030254,31.2232238,4,601947a97e3a052fd4976771,乔家路133弄
8NBWVYVL1Q,开元坊,开元坊,[黄浦] 开元坊,西藏南路900弄,121.485071,31.213642,0,开源大厦,黄浦,121.479215,31.204187,74,601947a97e3a052fd4976777,瞿溪路1168号
,,,,,,,0,梅家街203号,黄浦,121.500914,31.22333,,601947ac7e3a052fd497677c,梅家街203号
CTHZA4PC4G,建国中路18弄小区,建国中路18弄小区,[黄浦] 建国中路18弄小区,建国中路18号,121.469745,31.21012,0.5333333333333333,建国中路133号,黄浦,121.475398,31.215362,,601947ac7e3a052fd497677e,建国中路133号
,,,,,,,0,斜徐路595号,黄浦,121.47915900003,31.212143864036,,601947ad7e3a052fd4976781,斜徐路595号
34NQ26JX9E,斜土路556弄小区,斜土路556弄小区,[黄浦] 斜土路556弄小区,斜土路556弄,121.4759,31.202572,0.2857142857142857,斜土路620号,黄浦,121.48086375842,31.208558448005,,601947ae7e3a052fd4976783,斜土路620号
,,,,,,,0,金玉兰广场,黄浦,121.477149,31.210693,,601947b07e3a052fd4976785,打浦路1号
,,,,,,,0,华美达广场酒店,黄浦,121.479142,31.208117,1,601947b17e3a052fd4976788,斜土路688号（斜土路710号）
,,,,,,,0,泰康路10弄,黄浦,121.47825989224,31.214490936149,,601947b17e3a052fd497678a,泰康路10弄
430FUKB9DF,鲁班路400弄小区,鲁班路400弄小区,[黄浦] 鲁班路400弄小区,鲁班路400弄,121.475748,31.200427,0.2857142857142857,鲁班路372号,黄浦,121.48182757824,31.207810522502,1,601947b17e3a052fd497678c,鲁班路372号
,,,,,,,0,药局弄79弄,黄浦,121.502271,31.224281,,601947e57e3a052fd4976822,药局弄79弄
B0TUJTVVNG,乔家栅小区,乔家栅小区,[黄浦] 乔家栅小区,凝和路139弄,121.493976,31.217271,0.2222222222222222,乔家路50号,黄浦,121.50394754475,31.222252705769,,601947e67e3a052fd4976827,乔家路50号
RGUR3B2MF9,江阴小区北区,江阴小区北区,[黄浦] 江阴小区北区,黄陂北路249弄,121.469997,31.229629,0.15384615384615385,江阴街38-44号,黄浦,121.50072229829,31.219785875934,,601947e67e3a052fd4976829,江阴街38-44号
RGUR3B2MF9,江阴小区北区,江阴小区北区,[黄浦] 江阴小区北区,黄陂北路249弄,121.469997,31.229629,0.2,江阴街33号,黄浦,121.50156236953,31.220027205126,,601947e77e3a052fd497682b,江阴街33号
,,,,,,,0,俞家弄141号,黄浦,121.5025086,31.22277865,,601947e97e3a052fd497682f,俞家弄141号
,,,,,,,0,光启南路362弄,黄浦,121.5017606,31.22174371,,601947e97e3a052fd4976831,光启南路362弄
WBIIJQ5JN4,巡道街小区,巡道街小区,[黄浦] 巡道街小区,巡道街194弄,121.497018,31.21765,0.4444444444444444,巡道街88弄,黄浦,121.5039351,31.22500514,,601947ea7e3a052fd4976833,巡道街88弄
WBIIJQ5JN4,巡道街小区,巡道街小区,[黄浦] 巡道街小区,巡道街194弄,121.497018,31.21765,1,巡道街小区,黄浦,121.5039152,31.22332293,,601947eb7e3a052fd4976835,巡道街194弄
B0TUJTVVNG,乔家栅小区,乔家栅小区,[黄浦] 乔家栅小区,凝和路139弄,121.493976,31.217271,0.15384615384615385,乔家路258弄8支弄,黄浦,121.5007797,31.2232001,,601947ed7e3a052fd4976838,乔家路258弄8支弄
B0TUJTVVNG,乔家栅小区,乔家栅小区,[黄浦] 乔家栅小区,凝和路139弄,121.493976,31.217271,0.2,乔家路104号,黄浦,121.5032518,31.22276885,,601947ed7e3a052fd497683a,乔家路104号
6LKC9DBDRB,申升公寓,申升公寓,[黄浦] 申升公寓,"河南南路737号,河南南路747号",121.492792,31.215755,1,申升公寓,黄浦,121.499364,31.221567,86,6019482b7e3a052fd49768ed,河南南路747号
U3LDXJTOTY,薛家浜路242弄小区,薛家浜路242弄小区,[黄浦] 薛家浜路242弄小区,薛家浜路242弄,121.501753,31.210998,0.875,薛家浜路242弄,黄浦,121.5085763,31.21626889,84,6019482c7e3a052fd49768f2,薛家浜路242弄
LBEN0QMA7A,黄家小区,黄家小区,[黄浦] 黄家小区,黄家路55弄,121.497134,31.216017,1,黄家小区,黄浦,121.503448,31.221546,166,6019482d7e3a052fd49768f5,"黄家路55弄, 永泰街22号"
9OC6Z6DKBZ,阳光公寓(陆家浜路),阳光公寓(陆家浜路),[黄浦] 阳光公寓(陆家浜路),陆家浜路305弄,121.50055,31.211498,0.5,阳光公寓(黄浦),黄浦,121.507064,31.217349,268,6019482d7e3a052fd49768f7,陆家浜路305弄1-3号
JTGBHCMVBN,金南新苑,金南新苑,[黄浦] 金南新苑,陆家浜路413弄,121.499688,31.211913,1,金南新苑,黄浦,121.50675,31.217936,296,6019482e7e3a052fd49768f9,陆家浜路413弄3-5号（单号）
IAO480G7EP,秀水苑,秀水苑,[黄浦] 秀水苑,"多稼路168号,多稼路208号",121.502075,31.211705,0.5,秀水苑(黄浦),黄浦,121.508436,31.217319,339,6019482f7e3a052fd49768fc,"多稼路208号,多稼路168号"
IW9NSK88KY,阳光里,阳光里,[黄浦] 阳光里,陆家浜路305弄,121.500855,31.212148,0.5,阳光里(黄浦),黄浦,121.507466,31.21791,363,601948307e3a052fd49768fe,陆家浜路305弄4-8号
BIOT9CUGR8,外滩中心,外滩中心,[黄浦] 外滩中心,延安东路222号,121.487223,31.232522,0.3333333333333333,外滩公馆,黄浦,121.50898,31.217748,372,601948317e3a052fd4976900,薛家浜路159弄
XC6G9NXUPG,浩城华苑,浩城华苑,[黄浦] 浩城华苑,黄家路88弄,121.496125,31.215454,1,浩城华苑,黄浦,121.502473,31.221469,559,601948317e3a052fd4976902,黄家路88弄
MVAJVWBKCO,南花苑,南花苑,[黄浦] 南花苑,黄家路99弄,121.496013,31.216439,1,南花苑,黄浦,121.502478,31.221842,404,601948327e3a052fd4976904,黄家路99弄
3R5DDQEOJV,思南路26弄小区,思南路26弄小区,[黄浦] 思南路26弄小区,思南路26弄,121.465798,31.218747,0.3333333333333333,思南路82弄,黄浦,121.4768188,31.21558236,2,601947bc7e3a052fd49767ab,思南路82弄
IN6LZDBPA6,同济蓬莱家园,同济蓬莱家园,[黄浦] 同济蓬莱家园,瞿溪路301弄,121.492222,31.205195,0,艾家弄24号,黄浦,121.500132,31.226765,,601947be7e3a052fd49767b1,艾家弄24号
SYF7T1ZLFV,豫欣公寓,豫欣公寓,[黄浦] 豫欣公寓,制造局路363弄,121.485842,31.206022,0,裕兴大厦(办公楼),黄浦,121.4763119,31.20287652,2,601947be7e3a052fd49767b3,瑞金南路345弄1号
,,,,,,,0,望云路155弄,黄浦,121.499773,31.225457,,601947be7e3a052fd49767b7,望云路155弄1-9号
,,,,,,,0,西唐家弄103号,黄浦,121.500265,31.22595,,601947c17e3a052fd49767bb,西唐家弄103号
,,,,,,,0,药局弄69弄,黄浦,121.503124,31.224004,,601947c17e3a052fd49767bd,药局弄69弄8号
,,,,,,,0,桑园街10号,黄浦,121.504176,31.219352,,601947c17e3a052fd49767bf,桑园街10号
,,,,,,,0,东梅家街36号,黄浦,121.502256,31.225527,,601947c27e3a052fd49767c1,东梅家街36号
,,,,,,,0,光启南路188-194号,黄浦,121.501299,31.224631,,601947c47e3a052fd49767c4,光启南路188-194号
,,,,,,,0,望云路145号,黄浦,121.499633,31.225554,,601947c57e3a052fd49767c6,望云路145号
PRFOCPWM0S,中华苑,中华苑,[黄浦] 中华苑,光启南路428号,121.494987,31.215342,0.25,中华路319号,黄浦,121.50533,31.225856,1,601947ee7e3a052fd497683c,中华路319号
,,,,,,,0,西唐家弄113号,黄浦,121.500166,31.225876,,601947ef7e3a052fd497683e,西唐家弄113号（艾家弄75号）
,,,,,,,0,西唐家弄107弄,黄浦,121.501874,31.225827,1,601947ef7e3a052fd4976840,西唐家弄107弄
,,,,,,,0,虹桥弄28弄18号,黄浦,121.499822,31.227056,1,601947f17e3a052fd4976849,虹桥弄28弄18号
,,,,,,,0,赵家宅路51号,黄浦,121.502748,31.225188,1,601947f27e3a052fd497684b,赵家宅路51号
,,,,,,,0,药局弄85号,黄浦,121.503083,31.223769,1,601947f27e3a052fd497684d,药局弄85号
RGUR3B2MF9,江阴小区北区,江阴小区北区,[黄浦] 江阴小区北区,黄陂北路249弄,121.469997,31.229629,0.2,江阴街35号,黄浦,121.50152705409,31.220028875165,1,601947f37e3a052fd4976850,江阴街35号
WBIIJQ5JN4,巡道街小区,巡道街小区,[黄浦] 巡道街小区,巡道街194弄,121.497018,31.21765,0.4444444444444444,巡道街15号,黄浦,121.504166,31.22641372,1,601947f57e3a052fd4976852,巡道街15号
,,,,,,,0,天灯弄120弄,黄浦,121.5027955,31.22540087,1,601947f67e3a052fd4976854,天灯弄120弄
,,,,,,,0,大夫坊76号,黄浦,121.502883,31.226134,2,601947f67e3a052fd4976856,大夫坊76号
RQAA3TN336,步高苑,步高苑,[黄浦] 步高苑,陕西南路307弄,121.46254,31.205915,1,步高苑,黄浦,121.468898,31.211539,629,601948437e3a052fd4976940,陕西南路307弄
HAT6NHATXW,瑞南新苑,瑞南新苑,[黄浦] 瑞南新苑,瑞金南路185弄,121.468866,31.200129,1,瑞南新苑,黄浦,121.47508,31.206002,647,601948437e3a052fd4976942,瑞金南路185弄
34NQ26JX9E,斜土路556弄小区,斜土路556弄小区,[黄浦] 斜土路556弄小区,斜土路556弄,121.4759,31.202572,0.18181818181818182,斜土新村,黄浦,121.477141,31.205348,640,601948447e3a052fd4976944,打浦路316弄
RLQGCUUISK,德玛公寓,德玛公寓,[黄浦] 德玛公寓,肇嘉浜路188弄,121.463145,31.20386,1,德玛公寓,黄浦,121.469647,31.210093,746,601948457e3a052fd4976946,肇嘉浜路188弄
GVZWKUAWPC,瑞金花园,瑞金花园,[黄浦] 瑞金花园,建国西路91弄,121.465078,31.2062,1,瑞金花园,黄浦,121.471379,31.212129,789,601948467e3a052fd4976948,建国西路91弄1-3号
YAI0HULDW0,名盛苑,名盛苑,[黄浦] 名盛苑,瑞金南路333弄,121.469935,31.19829,1,名盛苑,黄浦,121.47629,31.204359,813,601948477e3a052fd497694b,"瑞金南路333弄, 黄浦区"
UTUCYUK7IG,东晖花苑,东晖花苑,[黄浦] 东晖花苑,打浦路398弄,121.472116,31.197517,1,东晖花苑,黄浦,121.4784229,31.20350887,820,601948487e3a052fd497694d,打浦路398弄
XT1M2LWCVA,南园新村,南园新村,[黄浦] 南园新村,瞿溪路1072弄,121.474289,31.197747,0.3333333333333333,南园小区,黄浦,121.480363,31.202975,905,601948497e3a052fd4976950,打浦路457弄
JNLIBGNTKN,思南新苑,思南新苑,[黄浦] 思南新苑,思南路88弄,121.470488,31.208545,1,思南新苑,黄浦,121.476932,31.214656,1039,601948497e3a052fd4976955,思南路88弄
1PN5957SD0,海华花园,海华花园,[黄浦] 海华花园,打浦路38弄,121.468959,31.204447,1,海华花园,黄浦,121.475439,31.210429,1084,6019484b7e3a052fd497695a,打浦路38弄
3R5DDQEOJV,思南路26弄小区,思南路26弄小区,[黄浦] 思南路26弄小区,思南路26弄,121.465798,31.218747,0.3076923076923077,思南路115弄,黄浦,121.477629,31.21469277,323,6019483a7e3a052fd4976923,思南路115弄
NWUEXCUZF0,打浦路339弄小区,打浦路339弄小区,[黄浦] 打浦路339弄小区,打浦路339弄,121.472068,31.199435,0.8571428571428571,打浦路339弄,黄浦,121.4785415,31.20555504,357,6019483b7e3a052fd4976925,打浦路339弄
RQOMAKVO80,瑞金二路48弄小区,瑞金二路48弄小区,[黄浦] 瑞金二路48弄小区,瑞金二路48弄,121.463813,31.215936,0.5333333333333333,瑞金二路410弄,黄浦,121.4733196,31.21329489,414,6019483d7e3a052fd4976928,瑞金二路410弄
PJTGTWWN09,瞿西新村,瞿西新村,[黄浦] 瞿西新村,瞿溪路1254弄,121.47081,31.197275,1,瞿西新村,黄浦,121.4767952,31.20376059,415,6019483d7e3a052fd497692a,"瞿溪路1254弄, 瞿溪路1252弄, 瞿溪路1240弄"
SCR4BWPJBD,扬子江家园,扬子江家园,[黄浦] 扬子江家园,打浦路258弄,121.470368,31.200019,1,扬子江家园,黄浦,121.476757,31.206254,429,6019483e7e3a052fd497692c,打浦路258弄
BJ7KSS0G7G,郁金香花苑,郁金香花苑,[黄浦] 郁金香花苑,斜土路810弄,121.469897,31.200838,1,郁金香花苑,黄浦,121.476343,31.207131,484,6019483f7e3a052fd497692e,斜土路810弄1-12号
XT1M2LWCVA,南园新村,南园新村,[黄浦] 南园新村,瞿溪路1072弄,121.474289,31.197747,1,南园新村,黄浦,121.4812166,31.2048509,509,601948407e3a052fd4976934,瞿溪路1072弄
BDYHYFDKLO,绿洲仕格维花园,绿洲仕格维花园,[黄浦] 绿洲仕格维花园,"打浦路25-1,29,35号",121.471042,31.203439,1,绿洲仕格维花园,黄浦,121.477423,31.209398,539,601948407e3a052fd4976938,"打浦路25号,打浦路29号,打浦路35号"
6HDNPDWZUK,海丽花园,海丽花园,[黄浦] 海丽花园,打浦路80弄,121.469686,31.203425,1,海丽花园,黄浦,121.475996,31.209421,522,601948417e3a052fd497693a,打浦路80弄
7IKWQK9JVC,东泰花苑,东泰花苑,[黄浦] 东泰花苑,打浦路299弄,121.471779,31.200651,1,东泰花苑,黄浦,121.478412,31.206568,611,601948427e3a052fd497693d,打浦路299弄
